Price,Close,High,Low,Open,Volume
Ticker,ENR.DE,ENR.DE,ENR.DE,ENR.DE,ENR.DE
Date,,,,,
2020-09-29,21.79415512084961,23.151337430210827,21.358271489371955,21.64555898656247,10261596
2020-09-30,22.78479766845703,22.953207118108327,21.368177337184772,21.784247631058427,5914951
2020-10-01,22.398447036743164,23.547593186389655,22.398447036743164,23.18105431078584,4359302
2020-10-02,22.210224151611328,22.755077242457045,21.774340545233404,22.19041083098,4092751
2020-10-05,21.546491622924805,22.566854894943848,21.546491622924805,22.34891216120072,3199904
2020-10-06,20.813417434692383,21.695089429531777,20.654914646620185,21.695089429531777,4579540
2020-10-07,20.803510665893555,21.269112367242737,20.427067018558382,20.902575380298263,3128761
2020-10-08,20.70444679260254,20.99173428709696,20.35772122285154,20.86294958628831,3609813
2020-10-09,20.843137741088867,21.387990847396797,20.35772081935713,20.496412178210043,3123835
2020-10-12,21.150236129760742,21.18986088164928,20.51622309402377,20.942200041463565,2654532
2020-10-13,21.506866455078125,21.66537113114136,20.803510575901587,21.090798057482264,3883149
2020-10-14,21.625743865966797,22.140878852182297,21.526679154848093,21.64555718609098,3126356
2020-10-15,21.298831939697266,21.665370809110247,21.06107776338975,21.348363351197996,2139903
2020-10-16,21.00164031982422,21.41771061318213,21.00164031982422,21.100703145788536,2182302
2020-10-19,21.07098388671875,21.32855137686484,20.902574446604085,21.041263906874217,1575415
2020-10-20,20.724258422851562,21.2294867450559,20.724258422851562,21.001639233915373,2002759
2020-10-21,20.60538101196289,20.942199903557672,20.328002082062895,20.645007653092748,2048589
2020-10-22,20.219032287597656,20.585571188667117,20.219032287597656,20.506319789719992,1745183
2020-10-23,20.22893714904785,20.38743993284139,20.06052770507944,20.06052770507944,1567884
2020-10-26,19.55034637451172,20.139778465158596,19.525578780100417,20.01099566592981,1791934
2020-10-27,19.24324607849121,19.565205919035723,19.109510890667348,19.515674507952976,1981501
2020-10-28,18.455684661865234,19.0104462947823,18.33185424390196,18.91633396784879,2626525
2020-10-29,18.425966262817383,18.842036535798822,18.20802352156384,18.406152942793934,2152088
2020-10-30,18.624094009399414,18.624094009399414,18.188212300868237,18.326901763627955,2381153
2020-11-02,19.367076873779297,19.367076873779297,18.65381433695163,18.69839336359725,1853487
2020-11-03,19.664270401000977,19.84258650201947,19.312592473715725,19.61473710099462,2150878
2020-11-04,18.856897354125977,19.53548756796634,18.430920381079407,19.282874327172546,2299198
2020-11-05,20.03080940246582,20.248752165564905,18.926242208721654,19.040165976022365,2582055
2020-11-06,20.060527801513672,20.258657226959144,19.66427084012496,20.07043446173617,1481804
2020-11-09,20.971920013427734,21.48705501427156,20.516223085142112,20.684632531975588,2249061
2020-11-10,20.30818748474121,20.902573837804795,20.11005807055264,20.605379716521938,2074641
2020-11-11,21.269113540649414,21.2889268625239,20.51622431494027,20.80351181361321,2465078
2020-11-12,21.992284774780273,22.121067588555412,20.95210804558658,21.100704181327856,2069021
2020-11-13,22.656015396118164,22.665920167359054,21.774341484994395,22.012095674324815,1903756
2020-11-16,22.982925415039062,23.08198823386509,22.55694849187939,22.65601320020757,2038863
2020-11-17,23.250398635864258,23.26030529605833,22.78479694375613,22.78479694375613,1538668
2020-11-18,23.65656089782715,23.745718944951673,23.12161450458214,23.25039730070527,1796127
2020-11-19,23.96366310119629,24.082539244755743,23.270212002257946,23.309838643112585,1244697
2020-11-20,24.78589630126953,24.81561439156582,24.023100491961767,24.082538562056527,1643673
2020-11-23,24.83542823791504,25.231685196117272,24.330199907643856,25.112809053407712,1755848
2020-11-24,25.30103302001953,25.400095847153228,24.676926627864297,25.24159305633654,1808115
2020-11-25,24.82552146911621,25.380283097673487,24.528329224140837,25.291125046280435,1657338
2020-11-26,25.00383949279785,25.33075174318636,24.8750566806155,25.33075174318636,935265
2020-11-27,24.686832427978516,25.013744658830667,24.5283296426867,24.86514853380737,1219865
2020-11-30,24.667020797729492,25.132624414743788,24.28067046829412,24.567956077758215,3525418
2020-12-01,24.766084671020508,25.23168638261486,24.726458028585768,24.766084671020508,982265
2020-12-02,24.567955017089844,24.865149164172962,24.280669420028683,24.756177787958922,936675
2020-12-03,24.270761489868164,24.676925102415986,24.14197868885391,24.647205122411684,1155493
2020-12-04,24.667020797729492,24.74627219580604,24.36982852731803,24.54814464536586,1818740
2020-12-07,25.360469818115234,25.360469818115234,24.87505480947639,25.023650932202205,1512708
2020-12-08,25.439722061157227,26.18270458916064,25.291125933457,25.301032593903983,1560625
2020-12-09,24.736364364624023,25.77654104085992,24.736364364624023,25.677476325575224,1617351
2020-12-10,25.26140594482422,25.469440145644032,24.756177599187463,25.013745102227904,1518468
2020-12-11,24.865148544311523,25.320843579842442,24.756177170814023,25.320843579842442,1377618
2020-12-14,25.410001754760742,25.449628396041764,24.75617728964192,24.884961984302986,1095300
2020-12-15,25.538785934448242,25.756726788592456,25.449627882866015,25.687382057251217,1058490
2020-12-16,25.935043334960938,26.30158031817188,25.687382496222963,25.756727228749238,1517270
2020-12-17,25.637849807739258,26.20251812074416,25.588318394608336,26.113360065506665,1075237
2020-12-18,26.17279815673828,26.668119846389267,25.75672786185136,26.04401534881003,7495159
2020-12-21,25.697288513183594,26.063825487218317,25.27131157889821,25.86569795488939,1469654
2020-12-22,27.10400390625,27.123815338138765,25.4298160387493,25.558598848786744,1215661
2020-12-23,27.946048736572266,28.42155899318585,27.30213091992126,27.61913649799546,1296261
2020-12-28,29.451828002929688,29.62023745750708,28.728658770127723,29.223980473060962,1537601
2020-12-29,29.620235443115234,30.39293792736253,29.620235443115234,29.699486834614788,1352835
2020-12-30,29.719301223754883,30.19480958985441,29.630143168923436,29.887710672936254,753781
2021-01-04,29.84808349609375,30.9080734745932,29.63014263791282,30.33350040347779,1693265
2021-01-05,29.80845832824707,30.11555723537445,29.58061081294296,29.87780305990465,1310223
2021-01-06,30.462284088134766,30.55144214394315,29.848084358066156,30.115558525491306,1907028
2021-01-07,31.561899185180664,31.690681995214273,30.72975858180285,30.739665242498102,2015815
2021-01-08,33.117210388183594,33.78093967678981,32.06712698493555,32.09684885775712,2767418
2021-01-11,32.98842239379883,33.642246845603694,31.74021345090025,33.206365137401924,1844153
2021-01-12,32.04730987548828,34.157381204227796,31.92843373526481,33.40449394413999,2045977
2021-01-13,33.384681701660156,33.74131391284418,31.20526557253907,31.88880812463879,1614817
2021-01-14,32.37422561645508,33.95925349599816,32.36431706651787,33.58281173648453,2027637
2021-01-15,30.34340476989746,31.76993171312201,29.709393634909766,30.828821670812424,4077046
2021-01-18,31.373676300048828,31.551992412928225,30.254250098475957,30.42265766119281,1473481
2021-01-19,31.205265045166016,31.948247546241397,30.967510871562162,31.898716135303925,1494481
2021-01-20,31.264705657958984,31.76993402650472,30.73966585712895,31.28451897974565,1181275
2021-01-21,31.839279174804688,31.86899726836645,31.2349879685194,31.462835503504053,1405464
2021-01-22,31.591615676879883,32.51291429032643,30.987324521110242,32.09684589922384,1299312
2021-01-25,32.5327262878418,33.52336959285646,31.85908853811148,33.28561353689105,2449910
2021-01-26,32.4039421081543,33.47383870826791,32.13646795812589,32.7902923985272,1687313
2021-01-27,31.294424057006836,32.54263303436408,30.323594012616862,32.54263303436408,2278046
2021-01-28,31.264705657958984,31.78974734829138,29.0753846170965,31.026951465026116,2177034
2021-01-29,30.293872833251953,31.482645580243098,30.254248082753417,30.729756425749,1740241
2021-02-01,30.967510223388672,31.20526439201615,30.492001886133707,30.908072153607343,1189854
2021-02-02,30.858539581298828,31.660960155511127,30.452375964135676,31.651055384899337,1642816
2021-02-03,30.90807342529297,31.492553155780083,30.630692605730566,31.373675121824125,1296156
2021-02-04,30.858539581298828,31.591615424215302,30.670316818137152,31.10620041564232,1624932
2021-02-05,30.68022346496582,31.452925948003717,30.452375950949,31.165638473328602,1372956
2021-02-08,31.52227210998535,31.70058822104912,31.00713709791275,31.205266530095226,1465308
2021-02-09,30.868446350097656,31.839276370661818,30.65050549532883,31.65105549633965,1717159
2021-02-10,30.957605361938477,31.383582314039113,30.521721749381744,31.106201489775323,1347139
2021-02-11,31.660961151123047,31.740214434527296,30.789195818201357,30.957605266430832,1137024
2021-02-12,31.01704216003418,31.760026547678226,30.7991013074667,31.69067992733647,1566369
2021-02-15,31.40339469909668,31.49255275104224,30.89816636790591,31.215171935044694,1485440
2021-02-16,32.621883392333984,32.82001280340366,31.225076523848866,31.373672637400073,2159709
2021-02-17,32.7902946472168,33.24599347796293,32.19591012572828,32.28506818185202,1542328
2021-02-18,32.205814361572266,33.315337659116715,32.166191498734975,32.69123127662353,1626428
2021-02-19,32.01759338378906,32.661513085241474,31.631243074519436,32.19590949252959,1397121
2021-02-22,31.135921478271484,31.89871732804482,31.135921478271484,31.89871732804482,1179210
2021-02-23,30.036306381225586,31.700587528808388,29.24379244880628,31.234985829699827,2358958
2021-02-24,30.105649948120117,31.413298830717313,29.897615757480647,30.21462131817061,2018977
2021-02-25,30.194808959960938,30.98732477642978,30.184902299686076,30.610879243993963,1461881
2021-02-26,30.957605361938477,31.036856756084948,29.39238891041896,29.798552541607407,1850125
2021-03-01,31.294424057006836,31.977966618535262,31.205266002980995,31.522271577516314,1508344
2021-03-02,30.373125076293945,31.482646463928965,30.373125076293945,31.185452324088146,1556788
2021-03-03,29.768831253051758,31.423205686528146,29.689579862385315,31.12601344390454,2443753
2021-03-04,29.035757064819336,29.986775696290074,28.639500088999156,29.897617640542745,4008802
2021-03-05,28.233335494995117,29.402294951143343,28.233335494995117,28.996131328515872,2657877
2021-03-08,29.342857360839844,29.422108754616833,28.372025425193886,28.6692195689843,1935360
2021-03-09,30.858539581298828,31.145827056098344,29.491452607103717,29.570703998513547,2467820
2021-03-10,30.779287338256836,31.0269481657478,30.174994314538186,31.0269481657478,1645087
2021-03-11,32.09684371948242,32.10674848950078,30.343402774402627,30.809006324353845,1954605
2021-03-12,31.898717880249023,32.05722067132212,31.353862882620728,31.997780707542976,1136635
2021-03-15,32.14637756347656,32.43366504283289,31.849185313351338,31.997779548911705,1131886
2021-03-16,31.135921478271484,32.35441237211578,30.858540653944193,32.265254317492804,1937721
2021-03-17,30.135372161865234,31.126015557206628,29.848084670255115,31.0566708218531,2079882
2021-03-18,30.452377319335938,30.660413411983708,29.818366159842363,30.28396786890767,2146963
2021-03-19,29.659862518310547,30.333500300680672,29.620235877228897,30.234435587478785,10020335
2021-03-22,29.422107696533203,30.283966336675846,28.679125198029862,29.62023522909944,3087121
2021-03-23,29.749021530151367,29.78864628300801,29.01594565203155,29.41220262810952,1546457
2021-03-24,29.105100631713867,29.8778031206894,28.986224488488237,29.75892697746377,1368129
2021-03-25,28.996131896972656,29.194259437295834,28.629593018646247,28.98622523653116,1961242
2021-03-26,29.80845832824707,30.01649252321981,29.06547582134062,29.144727213163886,1862628
2021-03-29,29.699487686157227,30.135371296653506,29.6796743653387,29.86789713411018,885580
2021-03-30,30.056119918823242,30.095744670979048,29.521171593452856,29.80845907696709,1667004
