date,is_holiday
2026-01-01,1
2026-04-03,1
2026-05-01,1
2026-08-15,1
2026-10-12,1
2026-12-08,1
2026-12-25,1
2026-01-06,1
2026-04-06,1
2026-06-24,1
2026-09-11,1
2026-12-26,1
